mouse.time,mouse.clicked_name,no_Distractor,,,,
2.0372497,Target',10,,,,
4.0342284,Target',10,,,,
2.2539965,Target',10,,,,
1.4084507,Target',10,,,,
2.5433999,Target',10,,,,
1.3321759,Target',10,,,,
1.3191878,Target',10,,,,
3.2628255,Target',10,,,,
1.837388,Target',10,,,,
2.4674377,Target',10,,,,
1.5839932,Target',10,,,,
2.3372089,Target',10,,,,
1.6086496,Target',10,,,,
1.5639062,Target',10,,,,
1.4453129,Target',10,,,,
3.4624192,Target',10,,,,
4.541429,Target',10,,,,
2.638367,Target',10,,,,
4.6105029,Target',10,,,,
1.8516608,Target',10,,,,
2.061889,Target',10,,,,
1.4483373,Target',10,,,,
2.5219168,Target',10,,,,
3.258412,Target',10,,,,
2.0632373,Target',10,,,,
1.978487,Target',10,,,,
1.6208282,Target',10,,,,
2.5658334,Target',10,,,,
1.7499529,Target',10,,,,
2.6084608,Target',10,,,,
3.3942944,Target',10,,,,
3.1072895,Target',10,,,,
2.6779412,Target',10,,,,
2.6418652,Target',10,,,,
