mouse.time,mouse.clicked_name,no_Distractor,,,,
2.180614,Target',5,,,,
2.1889808,Target',5,,,,
1.7565002,Target',5,,5,2.010352249,2.010352
2.0572469,Target',5,,10,2.379395082,2.379395
2.7212481,Target',5,,,,
1.5559907,Target',5,,,Slope,0.073808567
1.4903646,Target',5,,,,
1.2742846,Target',5,,,,
2.6880927,Target',5,,,,
1.9888881,Target',5,,,,
1.8738588,Target',5,,,,
1.4554755,Target',5,,,,
2.0574956,Target',5,,,,
1.6051068,Target',5,,,,
1.2899429,Target',5,,,,
1.8061059,Target',5,,,,
1.5068589,Target',5,,,,
1.339618,Target',5,,,,
2.8456567,Target',5,,,,
4.0245903,Target',5,,,,
2.2872222,Target',5,,,,
1.7441939,Target',5,,,,
4.1546962,Target',5,,,,
2.0167903,Target',5,,,,
1.2812785,Target',5,,,,
1.1413052,Target',5,,,,
1.7589569,Target',5,,,,
2.5156922,Target',5,,,,
1.5190297,Target',5,,,,
1.7985023,Target',5,,,,
1.3975163,Target',5,,,,
1.3620267,Target',5,,,,
1.5146475,Target',5,,,,
2.0027642,Target',5,,,,
1.7464206,Target',5,,,,
1.815386,Target',5,,,,
2.4155695,Target',5,,,,
2.5514086,Target',5,,,,
2.5638416,Target',5,,,,
2.6315991,Target',5,,,,
2.2643797,Target',5,,,,
1.615327,Target',5,,,,
1.7828014,Target',5,,,,
1.8479289,Target',5,,,,
2.5516011,Target',5,,,,
1.7223793,Target',5,,,,
2.112508,Target',5,,,,
1.8646942,Target',5,,,,
1.8544103,Target',5,,,,
2.2375836,Target',5,,,,
1.9051223,Target',5,,,,
2.1612763,Target',5,,,,
2.6601479,Target',5,,,,
2.00179,Target',5,,,,
2.5004101,Target',5,,,,
1.9596605,Target',5,,,,
1.7699467,Target',5,,,,
1.3127615,Target',5,,,,
2.0116616,Target',5,,,,
1.8889453,Target',5,,,,
1.758815,Target',5,,,,
2.0801646,Target',5,,,,
1.7778155,Target',5,,,,
3.2438937,Target',5,,,,
2.4840401,Target',5,,,,
1.5711864,Target',5,,,,
1.7047889,Target',5,,,,
1.9755711,Target',5,,,,
2.6353734,Target',5,,,,
1.2417193,Target',5,,,,
1.6654439,Target',5,,,,
3.1508419,Target',5,,,,
2.2311736,Target',5,,,,
1.9280739,Target',5,,,,
1.7516269,Target',5,,,,
2.7611232,Target',5,,,,
1.2454733,Target',5,,,,
2.6474986,Target',5,,,,
1.8499564,Target',5,,,,
1.6051959,Target',5,,,,
2.4325049,Target',5,,,,
1.3843108,Target',5,,,,
1.7815421,Target',5,,,,
1.9272821,Target',10,,,,
1.3241157,Target',10,,,,
2.6788673,Target',10,,,,
1.2826872,Target',10,,,,
3.8592482,Target',10,,,,
1.3610055,Target',10,,,,
1.8462421,Target',10,,,,
1.4289425,Target',10,,,,
1.6087535,Target',10,,,,
1.4117951,Target',10,,,,
2.3956086,Target',10,,,,
1.7961026,Target',10,,,,
1.5790581,Target',10,,,,
3.5831794,Target',10,,,,
2.6525007,Target',10,,,,
3.631862,Target',10,,,,
3.5650656,Target',10,,,,
3.6893759,Target',10,,,,
1.7923395,Target',10,,,,
2.3080363,Target',10,,,,
1.5431655,Target',10,,,,
1.0657402,Target',10,,,,
1.254886,Target',10,,,,
1.6741941,Target',10,,,,
2.5960157,Target',10,,,,
2.6677102,Target',10,,,,
2.486626,Target',10,,,,
1.3140635,Target',10,,,,
3.0540728,Target',10,,,,
1.6097727,Target',10,,,,
1.9989375,Target',10,,,,
2.9800562,Target',10,,,,
1.9372749,Target',10,,,,
2.3094172,Target',10,,,,
1.6370078,Target',10,,,,
1.8000894,Target',10,,,,
3.1333592,Target',10,,,,
4.7815118,Target',10,,,,
2.091882,Target',10,,,,
2.4215256,Target',10,,,,
3.7058499,Target',10,,,,
2.4806413,Target',10,,,,
3.6931096,Target',10,,,,
2.3480536,Target',10,,,,
3.7433039,Target',10,,,,
2.3023204,Target',10,,,,
2.7754959,Target',10,,,,
3.2334918,Target',10,,,,
2.3000079,Target',10,,,,
1.89598,Target',10,,,,
4.1099379,Target',10,,,,
1.6835221,Target',10,,,,
1.7509637,Target',10,,,,
2.6478749,Target',10,,,,
2.438386,Target',10,,,,
1.5194405,Target',10,,,,
2.6152995,Target',10,,,,
1.6798956,Target',10,,,,
2.8550589,Target',10,,,,
2.1633031,Target',10,,,,
1.9589299,Target',10,,,,
3.607679,Target',10,,,,
1.8859204,Target',10,,,,
2.0406983,Target',10,,,,
1.7390411,Target',10,,,,
3.382677,Target',10,,,,
1.8085639,Target',10,,,,
3.2008425,Target',10,,,,
2.9964387,Target',10,,,,
1.8944578,Target',10,,,,
5.4559677,Target',10,,,,
1.3906982,Target',10,,,,
1.6945174,Target',10,,,,
1.9639222,Target',10,,,,
2.9273329,Target',10,,,,
1.4639816,Target',10,,,,
2.0989741,Target',10,,,,
2.7703949,Target',10,,,,
3.6066282,Target',10,,,,
1.506436,Target',10,,,,
1.7905392,Target',10,,,,
1.3817741,Target',10,,,,
1.962962,Target',10,,,,
