TOP_STRING,BOTTOM_STRING,WORD_STATUS,key_resp.corr,key_resp.rt,association,,,,,,,,
PLART,YELP,Nonword-Nonword,1,0.5624822,,,,,,,,,
DUMET,GLARF,Nonword-Nonword,1,1.5074788,,,,,,,,,
VAND,PLART,Nonword-Nonword,1,0.8572394,,,,,,,,,
YELP,BROTH,Nonword-Nonword,1,0.5512633,,,,,,,,,
ZANT,PLART,Nonword-Nonword,1,0.7924205,,,,,,,,,
CLUNT,VAND,Nonword-Nonword,1,1.1868699,,,,,,,,,
YELP,CLUNT,Nonword-Nonword,1,1.8299733,,,,,,,,,
PLART,ZANT,Nonword-Nonword,1,0.6868011,,,,,,,,,
PHOOM,GLARF,Nonword-Nonword,1,0.6801432,,,,,,,,,
CLUNT,ZANT,Nonword-Nonword,1,0.6794729,,,,,,,,,
VAND,BROTH,Nonword-Nonword,1,0.6480967,,,,,,,,,
SLEMP,DUMET,Nonword-Nonword,1,0.5727318,,,,,,,,,
SLEMP,PHOOM,Nonword-Nonword,1,0.6221014,,,,,,,,,
PHOOM,SLEMP,Nonword-Nonword,1,0.6381867,,,,,,,,,
GLARF,DUMET,Nonword-Nonword,1,0.6175839,,,,,,,,,
