delay,condition,textbox.text,p_no,,,,,,,
0.4,exp,400,1,,,,,,,
0.4,exp,600,1,,,,,,,
0.4,exp,600,1,,,,,,,
0.4,exp,600,1,,,,,,,
0.4,exp,400,1,,,,,,,
0.4,exp,800,1,,,,,,,
0.4,exp,500,1,,,,,,,
0.4,exp,600,1,,,,,,,
0.4,exp,400,1,,,,,,,
0.4,exp,700,1,,,,,,,
0.4,exp,700,1,,,,,,,
0.4,exp,700,1,,,,,,,
0.4,exp,600,1,,,,,,,
0.4,exp,500,1,,,,,,,
0.4,unexp,300,1,,,,,,,
0.4,unexp,100,1,,,,,,,
0.4,unexp,200,1,,,,,,,
0.4,unexp,300,1,,,,,,,
0.4,unexp,300,1,,,,,,,
0.4,unexp,500,1,,,,,,,
0.4,unexp,600,1,,,,,,,
0.4,unexp,300,1,,,,,,,
0.4,unexp,800,1,,,,,,,
0.4,unexp,400,1,,,,,,,
0.4,unexp,500,1,,,,,,,
0.4,unexp,700,1,,,,,,,
0.4,unexp,500,1,,,,,,,
0.4,unexp,500,1,,,,,,,
0.4,unexp,400,1,,,,,,,
0.4,unexp,700,1,,,,,,,
0.4,unexp,700,1,,,,,,,
0.4,unexp,300,1,,,,,,,
0.4,unexp,600,1,,,,,,,
0.4,unexp,700,1,,,,,,,
0.4,unexp,300,1,,,,,,,
0.4,unexp,500,1,,,,,,,
0.4,unexp,600,1,,,,,,,
0.4,unexp,700,1,,,,,,,
0.4,unexp,400,1,,,,,,,
0.4,unexp,700,1,,,,,,,
0.4,unexp,,1,,,,,,,
0.7,exp,300,1,,,,,,,
0.7,exp,1000,1,,,,,,,
0.7,exp,1000,1,,,,,,,
0.7,exp,300,1,,,,,,,
0.7,exp,200,1,,,,,,,
0.7,exp,1000,1,,,,,,,
0.7,exp,1000,1,,,,,,,
0.7,exp,500,1,,,,,,,
0.7,exp,100,1,,,,,,,
0.7,exp,800,1,,,,,,,
0.7,exp,400,1,,,,,,,
0.7,exp,600,1,,,,,,,
0.7,exp,200,1,,,,,,,
0.7,exp,200,1,,,,,,,
0.7,exp,800,1,,,,,,,
0.7,exp,600,1,,,,,,,
0.7,exp,800,1,,,,,,,
0.7,exp,900,1,,,,,,,
0.7,exp,300,1,,,,,,,
0.7,exp,300,1,,,,,,,
0.7,exp,500,1,,,,,,,
0.7,exp,500,1,,,,,,,
0.7,exp,900,1,,,,,,,
0.7,exp,700,1,,,,,,,
0.7,exp,800,1,,,,,,,
0.7,exp,500,1,,,,,,,
0.7,exp,500,1,,,,,,,
0.7,exp,400,1,,,,,,,
0.7,exp,800,1,,,,,,,
0.7,exp,600,1,,,,,,,
0.7,exp,800,1,,,,,,,
0.7,exp,100,1,,,,,,,
0.7,exp,900,1,,,,,,,
0.7,exp,700,1,,,,,,,
0.7,exp,500,1,,,,,,,
0.7,exp,800,1,,,,,,,
0.7,exp,900,1,,,,,,,
0.7,exp,600,1,,,,,,,
0.7,exp,400,1,,,,,,,
0.7,exp,300,1,,,,,,,
0.7,exp,500,1,,,,,,,
0.7,exp,800,1,,,,,,,
0.7,exp,800,1,,,,,,,
0.7,exp,500,1,,,,,,,
0.7,exp,700,1,,,,,,,
0.7,exp,800,1,,,,,,,
0.7,exp,600,1,,,,,,,
0.7,exp,600,1,,,,,,,
0.7,exp,600,1,,,,,,,
0.7,exp,800,1,,,,,,,
0.7,exp,800,1,,,,,,,
0.7,exp,500,1,,,,,,,
0.7,exp,700,1,,,,,,,
0.7,exp,800,1,,,,,,,
0.7,exp,600,1,,,,,,,
0.7,exp,800,1,,,,,,,
0.7,exp,600,1,,,,,,,
0.7,exp,600,1,,,,,,,
0.7,exp,790,1,,,,,,,
0.7,exp,700,1,,,,,,,
0.7,exp,500,1,,,,,,,
0.7,exp,500,1,,,,,,,
0.7,exp,800,1,,,,,,,
0.7,exp,300,1,,,,,,,
0.7,exp,500,1,,,,,,,
0.7,exp,400,1,,,,,,,
0.7,exp,300,1,,,,,,,
0.7,exp,400,1,,,,,,,
0.7,exp,300,1,,,,,,,
0.7,exp,500,1,,,,,,,
0.7,exp,300,1,,,,,,,
0.7,exp,500,1,,,,,,,
0.7,exp,900,1,,,,,,,
0.7,exp,300,1,,,,,,,
0.7,exp,800,1,,,,,,,
0.7,exp,700,1,,,,,,,
0.7,exp,900,1,,,,,,,
0.7,exp,700,1,,,,,,,
0.7,exp,700,1,,,,,,,
0.7,unexp,200,1,,,,,,,
0.7,unexp,200,1,,,,,,,
0.7,unexp,1000,1,,,,,,,
0.7,unexp,300,1,,,,,,,
0.7,unexp,500,1,,,,,,,
0.7,unexp,600,1,,,,,,,
0.7,unexp,300,1,,,,,,,
0.7,unexp,400,1,,,,,,,
0.7,unexp,900,1,,,,,,,
0.7,unexp,800,1,,,,,,,
0.7,unexp,900,1,,,,,,,
0.7,unexp,400,1,,,,,,,
0.7,unexp,800,1,,,,,,,
0.7,unexp,800,1,,,,,,,
0.7,unexp,500,1,,,,,,,
0.7,unexp,700,1,,,,,,,
0.7,unexp,800,1,,,,,,,
0.7,unexp,900,1,,,,,,,
0.7,unexp,800,1,,,,,,,
0.7,unexp,600,1,,,,,,,
0.7,unexp,300,1,,,,,,,
0.7,unexp,500,1,,,,,,,
0.7,unexp,500,1,,,,,,,
0.7,unexp,600,1,,,,,,,
0.7,unexp,600,1,,,,,,,
0.7,unexp,500,1,,,,,,,
