key_resp.corr,key_resp.rt,Key_resp.corr,Key_resp.rt,,,Sequential,Random
1,0.7930273,,,,,0.7930273,1.4433838
1,0.48731799999950454,,,,,0.487318,0.5050917
1,0.5067631999845617,,,,,0.5067632,0.3930118
1,0.3155832000193186,,,,,0.3155832,0.4083323
1,0.10245450004003942,,,,,0.1024545,0.5895983
1,0.34122479998040944,,,,,0.3412248,0.3473255
1,0.3475891000125557,,,,,0.3475891,0.3618738
1,0.37884320004377514,,,,,0.3788432,0.2940495
1,0.3232942000031471,,,,,0.3232942,0.4522629
1,1.0665029999800026,,,,,1.066503,0.5840148
1,0.29667210002662614,,,,,0.2966721,0.3466135
1,0.7217146999901161,,,,,0.7217147,0.3037859
1,0.2849278000066988,,,,,0.2849278,0.5246521
1,0.36223800003062934,,,,,0.362238,0.4798331
1,0.36473169998498634,,,,,0.3647317,0.4630731
1,0.8059661000152119,,,,,0.8059661,0.3644821
1,0.31309250002959743,,,,,0.3130925,0.4571026
1,0.11918870004592463,,,,,0.1191887,0.4995398
1,0.2788799999980256,,,,,0.27888,0.3610831
1,0.3044411,,,,,0.3044411,0.4465431
1,0.18767379998462275,,,,,0.1876738,0.5307526
1,0.0696855,,,,,0.0696855,0.3914329
1,0.0425415,,,,,0.0425415,0.334066
1,0.24945019994629547,,,,,0.2494502,0.4332918
1,0.22639470000285655,,,,,0.2263947,0.5199158
1,0.18907319998834282,,,,,0.1890732,0.4399884
1,0.0893684,,,,,0.0893684,0.3476301
1,0.4651898999582045,,,,,0.4651899,0.4850262
1,0.29917310003656894,,,,,0.2991731,0.5794307
1,0.3127939999685623,,,,,0.312794,0.3846327
1,0.35039059998234734,,,,,0.3503906,0.3506425
1,0.33085460000438616,,,,,0.3308546,0.7558271
1,0.33575819997349754,,,,,0.3357582,0.4363899
1,0.4415218000067398,,,,,0.4415218,0.6665451
1,0.30041799996979535,,,,,0.300418,0.3414229
1,0.36149689997546375,,,,,0.3614969,0.4788633
1,0.3213825999991968,,,,,0.3213826,0.4082542
1,0.24263659998541698,,,,,0.2426366,0.3274677
1,0.5286112000467256,,,,,0.5286112,0.4383146
1,0.3331346000195481,,,,,0.3331346,0.576438
1,0.3387992000207305,,,,,0.3387992,0.4774968
1,0.44257549999747425,,,,,0.4425755,0.4824665
1,0.2917455999995582,,,,,0.2917456,0.4465003
1,0.34964440000476316,,,,,0.3496444,0.970143
1,0.3132632999913767,,,,,0.3132633,0.4572842
1,0.32500970002729446,,,,,0.3250097,0.3976444
1,0.36740950000239536,,,,,0.3674095,0.3779818
1,0.3355004000477493,,,,,0.3355004,0.7032345
1,0.6728286999859847,,,,,0.6728287,0.8316923
1,0.33099919999949634,,,,,0.3309992,0.5337536
1,0.2275853999890387,,,,,0.2275854,0.5055186
1,0.3592356000444852,,,,,0.3592356,0.4695367
1,0.3327438000123948,,,,,0.3327438,0.6092766
1,0.3177720000385307,,,,,0.317772,0.4918083
1,0.28441650001332164,,,,,0.2844165,0.38532
1,0.34960959997260943,,,,,0.3496096,0.4782496
1,0.27386369998566806,,,,,0.2738637,0.5330167
1,0.0758755,,,,,0.0758755,0.4835936
1,0.3571947999880649,,,,,0.3571948,0.5062719
1,0.16917189996456727,,,,,0.1691719,0.6196781
1,0.0121033,,,,,0.0121033,0.8130656
1,0.3199245000141673,,,,,0.3199245,0.7276997
1,0.28520789998583496,,,,,0.2852079,0.3251342
1,0.34318660001736134,,,,,0.3431866,0.5276262
1,0.29210540000349283,,,,,0.2921054,0.4764044
1,0.32266449998132885,,,,,0.3226645,0.4134416
1,0.26170899998396635,,,,,0.261709,0.3626466
1,0.16174820001469925,,,,,0.1617482,0.5045801
1,0.4637016999768093,,,,,0.4637017,0.5486006
1,0.31373890000395477,,,,,0.3137389,0.6883283
1,0.4044861000147648,,,,,0.4044861,0.3440079
1,0.29898949997732416,,,,,0.2989895,0.4616512
1,0.2878649999620393,,,,,0.287865,0.4077189
1,0.35086589999264106,,,,,0.3508659,0.4209438
1,0.3388382999692112,,,,,0.3388383,0.4273343
1,0.37075820000609383,,,,,0.3707582,0.6242085
1,0.26804120000451803,,,,,0.2680412,0.6182204
1,0.32072879996849224,,,,,0.3207288,0.400674
1,0.23564129997976124,,,,,0.2356413,0.3559349
1,0.3161363999824971,,,,,0.3161364,0.4997437
1,0.31864649994531646,,,,,0.3186465,0.4268693
1,0.45345869997981936,,,,,0.4534587,0.4737946
1,0.2858107,,,,,0.2858107,0.3606889
1,0.4118220999953337,,,,,0.4118221,0.5136819
1,0.6276116999797523,,,,,0.6276117,0.58343
1,0.12139929999830201,,,,,0.1213993,0.4036581
1,0.29627800005255267,,,,,0.296278,0.3289613
1,0.35380719997920096,,,,,0.3538072,1.635888
1,0.3015400000149384,,,,,0.30154,0.9753716
1,0.30851160001475364,,,,,0.3085116,0.6584137
1,0.13926229998469353,,,,,0.1392623,0.3096078
1,0.4497288999846205,,,,,0.4497289,0.7812909
1,0.2865282000275329,,,,,0.2865282,0.4040934
1,0.31023259996436536,,,,,0.3102326,0.4315262
1,0.32203420001314953,,,,,0.3220342,0.3674886
1,0.3372510999906808,,,,,0.3372511,0.7895446
1,0.1366058000130579,,,,,0.1366058,0.7225594
1,0.3884232999989763,,,,,0.3884233,0.6391429
1,0.3414916999754496,,,,,0.3414917,0.4393506
1,0.2959285,,,,,0.2959285,0.7177209
1,0.29384589998517185,,,,,0.2938459,0.7041204
1,0.11105140001745895,,,,,0.1110514,0.5670623
1,0.25649479997809976,,,,,0.2564948,0.3499072
1,0.3325976999476552,,,,,0.3325977,0.6084504
1,0.12211210001260042,,,,,0.1221121,0.471657
1,0.2744886999716982,,,,,0.2744887,0.4484894
1,0.35021269996650517,,,,,0.3502127,0.368663
1,0.3196315999957733,,,,,0.3196316,0.5535652
1,0.7128598999697715,,,,,0.7128599,0.3905894
1,0.3077902000513859,,,,,0.3077902,0.3907837
1,0.3244016999960877,,,,,0.3244017,0.4709188
1,0.41886279999744147,,,,,0.4188628,0.8867615
1,0.48074789997190237,,,,,0.4807479,0.7292289
1,0.3426664999569766,,,,,0.3426665,0.3843313
1,0.27474080002866685,,,,,0.2747408,0.8497814
1,0.6626898000249639,,,,,0.6626898,0.8922848
1,0.3091537000145763,,,,,0.3091537,0.4343926
1,0.14925909996964037,,,,,0.1492591,0.4248867
1,0.3219730000128038,,,,,0.321973,0.8287929
1,0.3002725000260398,,,,,0.3002725,0.7343846
1,0.13874680001754314,,,,,0.1387468,0.732402
1,0.0301268,,,,,0.0301268,0.2225315
1,0.14705460000550374,,,,,0.1470546,0.5422168
1,0.30616430001100525,,,,,0.3061643,0.3965173
1,0.2660664999857545,,,,,0.2660665,0.4327575
1,0.0981422,,,,,0.0981422,0.316003
1,0.3409848000155762,,,,,0.3409848,0.7226486
1,0.5880681999842636,,,,,0.5880682,0.4796075
1,0.47892160003539175,,,,,0.4789216,0.4238343
1,0.3274127999902703,,,,,0.3274128,0.7403643
1,0.3890164000331424,,,,,0.3890164,0.5414544
1,0.49578649998875335,,,,,0.4957865,0.3774095
1,0.31150830001570284,,,,,0.3115083,0.5432127
1,0.36942100001033396,,,,,0.369421,0.4554696
1,0.3184305999893695,,,,,0.3184306,0.4782779
1,0.36589819996152073,,,,,0.3658982,0.5240284
1,0.3467712000128813,,,,,0.3467712,0.5672659
1,0.21456630004104227,,,,,0.2145663,0.3505563
1,0.3402782999910414,,,,,0.3402783,0.4601573
1,1.1694836000096984,,,,,1.1694836,0.4412246
1,0.6045423000468872,,,,,0.6045423,0.4535979
1,0.7072139999945648,,,,,0.707214,0.3069229
1,0.5493797000381164,,,,,0.5493797,0.4596528
1,0.5983105999766849,,,,,0.5983106,0.4967182
1,0.5773737000417896,,,,,0.5773737,0.3886195
1,0.3755284000071697,,,,,0.3755284,0.2498718
1,0.4169639000319876,,,,,0.4169639,0.3390132
1,0.4845795999863185,,,,,0.4845796,0.4167109
1,0.5939966999576427,,,,,0.5939967,0.4440505
1,0.4719426999799907,,,,,0.4719427,0.3444894
1,0.3285656000371091,,,,,0.3285656,0.3556509
1,0.2845199,,,,,0.2845199,0.5382566
1,0.30916880001313984,,,,,0.3091688,0.3616244
1,0.5005377999623306,,,,,0.5005378,0.3285757
1,0.4727447,,,,,0.4727447,0.5579591
1,0.3197689,,,,,0.3197689,0.3505238
1,0.3227036999887787,,,,,0.3227037,0.3287333
1,0.19017300003906712,,,,,0.190173,0.2813079
1,0.34254969999892637,,,,,0.3425497,0.6538201
1,0.3296952999662608,,,,,0.3296953,0.7090217
1,0.3806304999743588,,,,,0.3806305,0.5670731
1,0.35160769999492913,,,,,0.3516077,0.3582654
1,0.4032694000052288,,,,,0.4032694,0.7574469
1,0.37862390000373125,,,,,0.3786239,0.6550034
1,0.3116641999804415,,,,,0.3116642,0.7764153
1,0.3608927999739535,,,,,0.3608928,0.345664
1,0.28929250000510365,,,,,0.2892925,0.591561
1,0.13177759997779503,,,,,0.1317776,0.7412807
1,0.3097241999930702,,,,,0.3097242,0.7029402
1,0.33111069997539744,,,,,0.3311107,0.3262603
1,0.3505046999780461,,,,,0.3505047,0.8106741
1,0.36256420001154765,,,,,0.3625642,0.6979836
1,0.4122175,,,,,0.4122175,0.4934056
1,0.36162920005153865,,,,,0.3616292,0.3356506
1,0.3881792000029236,,,,,0.3881792,0.7009981
1,0.3793866999913007,,,,,0.3793867,0.3848139
1,0.18974529998376966,,,,,0.1897453,0.4308629
1,0.2937293000286445,,,,,0.2937293,0.4084569
1,0.1267381000216119,,,,,0.1267381,0.743689
1,0.26386700000148267,,,,,0.263867,0.5054773
1,0.3413700999808498,,,,,0.3413701,0.4613376
1,0.2213696999824606,,,,,0.2213697,0.1010596
1,0.3256961000151932,,,,,0.3256961,0.5681968
1,0.24689609999768436,,,,,0.2468961,0.3527667
1,0.3011053999653086,,,,,0.3011054,0.3046908
1,0.33382040000287816,,,,,0.3338204,0.4809898
1,0.2693174000014551,,,,,0.2693174,0.6429535
1,0.3269884999608621,,,,,0.3269885,0.698059
1,0.24033599998801947,,,,,0.240336,0.3448316
1,0.32793909998144954,,,,,0.3279391,0.1587794
1,0.2831591999856755,,,,,0.2831592,0.938591
1,0.26605219999328256,,,,,0.2660522,0.3123412
1,0.3032684000208974,,,,,0.3032684,0.3555022
1,0.2361420999513939,,,,,0.2361421,0.2001709
1,0.2909837000188418,,,,,0.2909837,0.7684686
1,0.3057303000241518,,,,,0.3057303,0.4504365
1,0.30975049996050075,,,,,0.3097505,0.4060323
1,0.2890946000115946,,,,,0.2890946,0.3424281
,,1,1.4433837999822572,,,,
,,1,0.5050917000044137,,mean,0.339632299,0.506803888
,,1,0.3930117999552749,,Standard DV,0.152368446,0.191573486
,,1,0.4083323000231758,,,,
,,1,0.5895982999936678,,Diff mean,,0.167171588
,,1,0.3473255000426434,,,,
,,1,0.3618737999931909,,,,
,,1,0.2940495000220835,,,,
,,1,0.45226290001301095,,,,
,,1,0.5840147999697365,,,,
,,1,0.3466134999762289,,,,
,,1,0.3037858999450691,,,,
,,1,0.5246521000517532,,,,
,,1,0.47983309999108315,,,,
,,1,0.46307310002157465,,,,
,,1,0.3644821000052616,,,,
,,1,0.45710260001942515,,,,
,,1,0.49953980004647747,,,,
,,1,0.3610830999678001,,,,
,,1,0.44654309999896213,,,,
,,1,0.5307526,,,,
,,1,0.3914329000399448,,,,
,,1,0.3340660000103526,,,,
,,1,0.4332917999709025,,,,
,,1,0.5199158000177704,,,,
,,1,0.43998839997220784,,,,
,,1,0.3476301,,,,
,,1,0.4850262000109069,,,,
,,1,0.5794307000469416,,,,
,,1,0.38463270000647753,,,,
,,1,0.3506424999795854,,,,
,,1,0.7558271000161767,,,,
,,1,0.43638989998726174,,,,
,,1,0.6665450999862514,,,,
,,1,0.34142290003364906,,,,
,,1,0.4788632999989204,,,,
,,1,0.40825420001056045,,,,
,,1,0.32746770000085235,,,,
,,1,0.4383145999745466,,,,
,,1,0.5764380000182427,,,,
,,1,0.4774968000128865,,,,
,,1,0.48246650001965463,,,,
,,1,0.4465003000223078,,,,
,,1,0.970143,,,,
,,1,0.4572842000052333,,,,
,,1,0.39764440001454204,,,,
,,1,0.3779818000039086,,,,
,,1,0.7032345000188798,,,,
,,1,0.8316923000384122,,,,
,,1,0.5337536000297405,,,,
,,1,0.5055185999954119,,,,
,,1,0.46953669999493286,,,,
,,1,0.6092766000074334,,,,
,,1,0.49180830002296716,,,,
,,1,0.38532000000122935,,,,
,,1,0.4782495999825187,,,,
,,1,0.5330166999483481,,,,
,,1,0.48359360004542395,,,,
,,1,0.5062719,,,,
,,1,0.6196780999889597,,,,
,,1,0.8130655999993905,,,,
,,1,0.7276997,,,,
,,1,0.32513419998576865,,,,
,,1,0.5276261999970302,,,,
,,1,0.4764044000185095,,,,
,,1,0.4134415999869816,,,,
,,1,0.36264659999869764,,,,
,,1,0.5045801000087522,,,,
,,1,0.5486005999846384,,,,
,,1,0.6883282999624498,,,,
,,1,0.34400789998471737,,,,
,,1,0.4616511999629438,,,,
,,1,0.40771889995085075,,,,
,,1,0.4209438000107184,,,,
,,1,0.42733430000953376,,,,
,,1,0.6242085000267252,,,,
,,1,0.6182204,,,,
,,1,0.4006739999749698,,,,
,,1,0.35593489999882877,,,,
,,1,0.49974369996925816,,,,
,,1,0.4268693,,,,
,,1,0.47379459999501705,,,,
,,1,0.36068889999296516,,,,
