key_resp.corr,key_resp.rt,Key_resp.corr,Key_resp.rt,,,,Sequential ,Random
1,1.7004552999860607,,,,,,1.7004553,0.4022576
1,1.1030037999735214,,,,,,1.1030038,0.3878918
1,0.29576189996441826,,,,,,0.2957619,2.0454222
1,0.12458459998015314,,,,,,0.1245846,0.2855907
1,0.8336563999764621,,,,,,0.8336564,0.3413016
1,0.6392985000275075,,,,,,0.6392985,0.5558615
1,0.41181499999947846,,,,,,0.411815,0.1759637
1,0.16332019999390468,,,,,,0.1633202,0.2191345
1,0.22402740002144128,,,,,,0.2240274,0.0771081
1,0.8567854,,,,,,0.8567854,0.4834909
1,0.0010501,,,,,,0.0010501,0.1989494
1,0.3792890000040643,,,,,,0.379289,0.2787597
1,0.35473739996086806,,,,,,0.3547374,0.4206057
1,0.2905657999799587,,,,,,0.2905658,0.2253699
1,0.38705199997639284,,,,,,0.387052,0.4460862
1,0.40116649999981746,,,,,,0.4011665,0.4429617
1,0.10664760001236573,,,,,,0.1066476,0.2722854
1,0.4434058999759145,,,,,,0.4434059,0.2977635
1,0.34569200000260025,,,,,,0.345692,0.3648533
1,0.2969175,,,,,,0.2969175,1.8040346
1,0.0325172,,,,,,0.0325172,0.8589693
1,0.028890700021293014,,,,,,0.0288907,0.4835748
1,0.0801011,,,,,,0.0801011,0.2059563
1,0.0125359,,,,,,0.0125359,0.2761137
1,0.4280490999808535,,,,,,0.4280491,0.6239222
1,1.6779119999846444,,,,,,1.677912,0.6082801
1,0.22698219999438152,,,,,,0.2269822,0.3713551
1,0.9903696999535896,,,,,,0.9903697,0.3590493
1,0.32242790004238486,,,,,,0.3224279,0.8799599
1,0.0516189,,,,,,0.0516189,0.463247
1,0.32652890001190826,,,,,,0.3265289,0.4355349
1,0.29764479998266324,,,,,,0.2976448,0.5884673
1,0.12903710000682622,,,,,,0.1290371,0.7693354
1,0.6146591000142507,,,,,,0.6146591,0.5379063
1,0.3794217999675311,,,,,,0.3794218,0.2908686
1,0.0418375,,,,,,0.0418375,0.3483228
1,0.0012282,,,,,,0.0012282,0.2729259
1,0.4235301000298932,,,,,,0.4235301,0.0685065
1,0.34628880000673234,,,,,,0.3462888,0.0639607
1,0.2738956999965012,,,,,,0.2738957,0.022873
1,0.32337950001237914,,,,,,0.3233795,0.5001798
1,0.42383699998026714,,,,,,0.423837,0.3537427
1,0.0956052,,,,,,0.0956052,0.2612818
1,0.0651625,,,,,,0.0651625,0.2198448
1,0.10968880000291392,,,,,,0.1096888,0.1101288
1,0.13385639997432008,,,,,,0.1338564,0.2511118
1,0.4644352999748662,,,,,,0.4644353,0.0564241
1,0.3519046999863349,,,,,,0.3519047,0.1190979
1,0.023820600006729364,,,,,,0.0238206,0.1836857
1,0.30656230001477525,,,,,,0.3065623,0.2088741
1,0.0681616,,,,,,0.0681616,0.033567
1,0.5563009999459609,,,,,,0.556301,0.4685218
1,0.12320139998337254,,,,,,0.1232014,0.2264272
1,0.0813095,,,,,,0.0813095,0.2667264
1,0.4126492000068538,,,,,,0.4126492,0.3324949
1,0.0960601,,,,,,0.0960601,0.3140633
1,0.3601945000118576,,,,,,0.3601945,0.3225247
1,0.7779537999886088,,,,,,0.7779538,0.320723
1,0.39698239997960627,,,,,,0.3969824,0.3456433
1,0.22711039998102933,,,,,,0.2271104,0.0539891
1,0.4328373000025749,,,,,,0.4328373,0.0164973
1,0.1925514999893494,,,,,,0.1925515,0.1286352
1,0.15443059999961406,,,,,,0.1544306,0.3355264
1,0.15501540002878755,,,,,,0.1550154,0.5453183
1,0.0892562,,,,,,0.0892562,0.3723408
1,0.023570200020913035,,,,,,0.0235702,0.5419321
1,0.5168790000025183,,,,,,0.516879,0.2929734
1,0.11937939998460934,,,,,,0.1193794,0.3040738
1,0.4910060000256635,,,,,,0.491006,0.2384743
1,0.6293195999460295,,,,,,0.6293196,0.3099744
1,0.1860595000325702,,,,,,0.1860595,0.0867869
1,0.12713859998621047,,,,,,0.1271386,0.2427487
1,0.11152600002242252,,,,,,0.111526,0.3377526
1,0.5138214000035077,,,,,,0.5138214,0.8498981
1,0.17376040003728122,,,,,,0.1737604,0.3084956
1,0.2889793000067584,,,,,,0.2889793,0.2727311
1,0.35776360001182184,,,,,,0.3577636,0.371855
1,0.20256159995915368,,,,,,0.2025616,0.3086734
1,0.24975909997010604,,,,,,0.2497591,0.2951016
1,0.21976400003768504,,,,,,0.219764,0.4253503
1,0.10000310000032187,,,,,,0.1000031,0.2997609
1,0.35937389999162406,,,,,,0.3593739,0.200644
1,0.0891431,,,,,,0.0891431,0.1959025
1,0.15644970000721514,,,,,,0.1564497,0.2712366
1,0.0020938,,,,,,0.0020938,0.8224912
1,0.31517759995767847,,,,,,0.3151776,0.3641152
1,0.0033051,,,,,,0.0033051,0.1504236
1,0.16724099998828024,,,,,,0.167241,0.3344674
1,0.18337320000864565,,,,,,0.1833732,0.1968306
1,0.8043329999782145,,,,,,0.804333,0.0779695
1,0.5228316999855451,,,,,,0.5228317,0.8045873
1,0.404264,,,,,,0.404264,0.3945827
1,0.1241314000217244,,,,,,0.1241314,0.5545357
1,0.3004411999718286,,,,,,0.3004412,0.45642
1,0.23596369998995215,,,,,,0.2359637,0.4144089
1,0.3004034000332467,,,,,,0.3004034,0.4325488
1,0.3775381000014022,,,,,,0.3775381,0.1965746
1,0.014056900050491095,,,,,,0.0140569,0.3208522
1,0.5552486999658868,,,,,,0.5552487,0.2173466
1,0.016563399985898286,,,,,,0.0165634,0.4378303
1,0.022357999987434596,,,,,,0.022358,0.3699286
1,0.4032915999996476,,,,,,0.4032916,0.3142986
1,0.4845179000403732,,,,,,0.4845179,0.3804549
1,0.1126825999817811,,,,,,0.1126826,0.3869423
1,0.2626069000107236,,,,,,0.2626069,0.2289435
1,0.17795409995596856,,,,,,0.1779541,0.185643
1,0.0902682,,,,,,0.0902682,0.3170347
1,0.3457019000197761,,,,,,0.3457019,0.1167609
1,0.5081346000079066,,,,,,0.5081346,0.6261348
1,0.2841160999960266,,,,,,0.2841161,0.6215585
1,0.49836149998009205,,,,,,0.4983615,0.341823
1,1.0302085999865085,,,,,,1.0302086,0.5431818
1,0.11120370001299307,,,,,,0.1112037,0.3310114
1,0.3699538000510074,,,,,,0.3699538,0.3068148
1,0.3335977999959141,,,,,,0.3335978,0.1762364
1,0.2901639000046998,,,,,,0.2901639,0.4145424
1,0.4032829999923706,,,,,,0.403283,0.2934253
1,0.2961691999807954,,,,,,0.2961692,0.3565516
