mouse.time,mouse.clicked_name,no_Distractor,,,,,,
1.3973574,Target',5,,,,,,
1.7111099,Target',5,,,,,,
1.362191,Target',5,,,,,,
1.6791825,Target',5,,,,,,
1.7669226,Target',5,,,,,,
1.5296278,Target',5,,,,,,
2.4912957,Target',10,,,,,,
1.9171455,Target',10,,,,,,
1.7696261,Target',10,,,,,,
1.691235,Target',10,,,,,,
2.7641614,Target',10,,,,,,
3.4564787,Target',10,,,,,,
1.7251533,Target',10,,,,,,
1.8282607,Target',10,,,,,,
2.3742239,Target',10,,,,,,
3.0822993,Target',10,,,,,,
1.8687489,Target',10,,,,,,
2.7918313,Target',10,,,,,,
1.491647,Target',10,,,,,,
1.7262017,Target',10,,,,,,
1.5113707,Target',10,,,,,,
1.3712493,Target',10,,,,,,
2.0871661,Target',10,,,,,,
1.6744058,Target',10,,,,,,
2.2838395,Target',10,,,,,,
2.2741684,Target',10,,,,,,
1.478627,Target',10,,,,,,
3.3654632,Target',10,,,,,,
3.9950972,Target',10,,,,,,
2.4931171,Target',10,,,,,,
3.3060544,Target',10,,,,,,
1.8997161,Target',10,,,,,,
2.9524254,Target',10,,,,,,
3.3458987,Target',10,,,,,,
3.1772651,Target',10,,,,,,
4.5793679,Target',10,,,,,,
1.6230758,Target',10,,,,,,
2.5951192,Target',10,,,,,,
2.4139972,Target',10,,,,,,
4.9623441,Target',10,,,,,,
2.3623376,Target',10,,,,,,
1.3568342,Target',10,,,,,,
2.2858636,Target',10,,,,,,
2.5231188,Target',10,,,,,,
4.6216612,Target',10,,,,,,
3.3585933,Target',10,,,,,,
3.4073146,Target',10,,,,,,
2.9652364,Target',10,,,,,,
2.4569078,Target',10,,,,,,
1.4911601,Target',10,,,,,,
3.0696799,Target',10,,,,,,
1.9135523,Target',10,,,,,,
3.5384498,Target',10,,,,,,
4.0802742,Target',10,,,,,,
2.1263761,Target',10,,,,,,
1.5062017,Target',10,,,,,,
2.4871411,Target',10,,,,,,
1.535475,Target',10,,,,,,
2.2869456,Target',10,,,,,,
3.5640248,Target',10,,,,,,
1.85792,Target',10,,,,,,
2.7657962,Target',10,,,,,,
1.8338269,Target',10,,,,,,
1.5182232,Target',10,,,,,,
2.8895644,Target',10,,,,,,
2.4037321,Target',10,,,,,,
2.0076376,Target',10,,,,,,
2.2588861,Target',10,,,,,,
2.712135,Target',10,,,,,,
2.545124,Target',10,,,,,,
3.0945706,Target',10,,,,,,
3.6949618,Target',10,,,,,,
2.4847004,Target',10,,,,,,
2.0050169,Target',10,,,,,,
1.7630672,Target',10,,,,,,
2.0544473,Target',10,,,,,,
2.2470351,Target',10,,,,,,
4.1730087,Target',10,,,,,,
2.657485,Target',10,,,,,,
3.8958388,Target',10,,,,,,
2.6965553,Target',10,,,,,,
4.6309006,Target',10,,,,,,
5.268923,Target',10,,,,,,
1.5210499,Target',10,,,,,,
1.5038915,Target',10,,,,,,
1.3309902,Target',10,,,,,,
1.3911961,Target',10,,,,,,
1.4775859,Target',10,,,,,,
2.8896033,Target',10,,,,,,
1.9321627,Target',10,,,,,,
1.9025762,Target',10,,,,,,
2.9460347,Target',10,,,,,,
1.6776765,Target',10,,,,,,
3.0975689,Target',10,,,,,,
1.7276678,Target',10,,,,,,
1.5712195,Target',10,,,,,,
3.1415301,Target',10,,,,,,
1.7955928,Target',10,,,,,,
2.3748067,Target',10,,,,,,
1.5039955,Target',10,,,,,,
3.169505,Target',10,,,,,,
1.6842159,Target',10,,,,,,
2.7688379,Target',10,,,,,,
1.9488097,Target',10,,,,,,
3.1429217,Target',10,,,,,,
3.3609144,Target',10,,,,,,
