mouse.time,mouse.clicked_name,no_Distractor,,,,,,
2.7597909,Target',5,,,,,,
2.0212637,Target',5,,,,,,
1.5917592,Target',5,,,,,,
1.9570846,Target',5,,,,,,
1.8502849,Target',5,,,,,,
2.6845146,Target',5,,,,5,2.005113594,2.005114
1.6394011,Target',5,,,,10,2.506249339,2.506249
1.9341034,Target',5,,,,,,
1.7630177,Target',5,,,,slope,0.100227149,0.100227
2.3535182,Target',5,,,,,,
2.2621626,Target',5,,,,,,
2.3395955,Target',5,,,,,,
2.217705,Target',5,,,,,,
2.2496226,Target',5,,,,,,
2.3116892,Target',5,,,,,,
2.4824335,Target',5,,,,,,
2.8774143,Target',5,,,,,,
2.8114752,Target',5,,,,,,
2.3350101,Target',5,,,,,,
2.054894,Target',5,,,,,,
2.8313087,Target',5,,,,,,
2.4843066,Target',5,,,,,,
2.1929696,Target',5,,,,,,
1.8978206,Target',5,,,,,,
1.912984,Target',5,,,,,,
2.9408282,Target',5,,,,,,
1.9659594,Target',5,,,,,,
1.7306885,Target',5,,,,,,
1.5937996,Target',5,,,,,,
1.6865339,Target',5,,,,,,
1.5654231,Target',5,,,,,,
2.8454802,Target',5,,,,,,
2.3795556,Target',5,,,,,,
2.8486886,Target',5,,,,,,
2.4479266,Target',5,,,,,,
1.4423559,Target',5,,,,,,
1.9808402,Target',5,,,,,,
1.3527501,Target',5,,,,,,
1.3541464,Target',5,,,,,,
3.4290838,Target',5,,,,,,
1.9486198,Target',5,,,,,,
1.8635695,Target',5,,,,,,
3.0113613,Target',5,,,,,,
2.2621126,Target',5,,,,,,
1.8047224,Target',5,,,,,,
2.5633545,Target',5,,,,,,
2.3460571,Target',5,,,,,,
2.1075445,Target',5,,,,,,
1.6878328,Target',5,,,,,,
1.6678667,Target',5,,,,,,
1.7364525,Target',5,,,,,,
1.4289867,Target',5,,,,,,
1.4667575,Target',5,,,,,,
2.3776873,Target',5,,,,,,
1.4409356,Target',5,,,,,,
1.7145509,Target',5,,,,,,
2.1292409,Target',5,,,,,,
2.338319,Target',5,,,,,,
1.8400377,Target',5,,,,,,
2.9916382,Target',5,,,,,,
1.9811666,Target',5,,,,,,
1.4610594,Target',5,,,,,,
1.6773643,Target',5,,,,,,
1.7166031,Target',5,,,,,,
1.2632015,Target',5,,,,,,
2.1230522,Target',5,,,,,,
1.7214211,Target',5,,,,,,
1.533947,Target',5,,,,,,
2.099226,Target',5,,,,,,
2.5596118,Target',5,,,,,,
1.5616799,Target',5,,,,,,
1.3669881,Target',5,,,,,,
1.9625391,Target',5,,,,,,
1.3905906,Target',5,,,,,,
1.2860918,Target',5,,,,,,
1.5777199,Target',5,,,,,,
1.4087386,Target',5,,,,,,
1.4729957,Target',5,,,,,,
1.725641,Target',5,,,,,,
1.845444,Target',5,,,,,,
1.6760034,Target',5,,,,,,
2.4593081,Target',5,,,,,,
2.0544776,Target',5,,,,,,
1.7193683,Target',5,,,,,,
3.6805796,Target',5,,,,,,
1.3394833,Target',5,,,,,,
2.2570336,Target',5,,,,,,
