TOP_STRING,BOTTOM_STRING,WORD_STATUS,key_resp.corr,key_resp.rt,Association,,,
DOCTOR,NURSE,Word-Word,1,0.7806588,R,,,
WINDOW,DOOR,Word-Word,1,0.8036788,R,,,
COFFEE,TEA,Word-Word,1,0.9812301,R,,,
CAR,SMOKE,Word-Word,1,0.9890789,R,,,
SUN,MOON,Word-Word,1,0.6202838,R,,,
SHOE,SOCK,Word-Word,1,0.9530872,R,,,
HAND,FOOT,Word-Word,1,0.6927681,R,,,
CHAIR,TABLE,Word-Word,1,0.5469812,R,,Mean Related,0.97665601
OCEAN,BEACH,Word-Word,1,0.4928771,R,,Mean Non- Related,1.049611744
SICK,ILL,Word-Word,1,0.7756913,R,,,
CAR,DRIVE,Word-Word,1,0.845495,R,,,
FIRE,SMOKE,Word-Word,1,1.4455411,R,,Mean W-N,0.95288323
CAT,DOG,Word-Word,1,1.4444493,R,,MeanN-W,0.8738322
WATER,WET,Word-Word,1,0.8772332,R,,Mean N-N,0.766225365
CITY,TOWN,Word-Word,1,2.1525378,R,,,
KNIFE,FORK,Word-Word,1,1.3616629,R,,,
BREAD,BUTTER,Word-Word,1,0.6893152,R,,,
LION,TIGER,Word-Word,1,1.1843137,R,,,
BLACK,WHITE,Word-Word,1,0.6648518,R,,,
SUN,BEACH,Word-Word,1,1.2313849,R,,,
OCEAN,TABLE,Word-Word,1,0.717358,N,,,
TREE,ILL,Word-Word,1,0.9708533,N,,,
FIRE,TOWN,Word-Word,1,1.1161677,N,,,
BOOK,SOCK,Word-Word,1,1.2865398,N,,,
DOCTOR,FOOT,Word-Word,1,0.6273506,N,,,
BREAD,NURSE,Word-Word,1,0.8806755,N,,,
WINDOW,PAGE,Word-Word,1,1.0173363,N,,,
COFFEE,DOOR,Word-Word,1,1.9724343,N,,,
BLACK,TIGER,Word-Word,1,0.9371963,N,,,
WATER,BRANCH,Word-Word,1,2.0405753,N,,,
LION,BUTTER,Word-Word,1,0.9829028,N,,,
SHOE,DRIVE,Word-Word,1,0.8212901,N,,,
CHAIR,DOG,Word-Word,1,0.8570975,N,,,
KNIFE,MOON,Word-Word,1,0.82099,N,,,
CAT,TEA,Word-Word,1,0.8018161,N,,,
CITY,WET,Word-Word,1,1.1902545,N,,,
HAND,WHITE,Word-Word,1,1.0595464,N,,,
SICK,FORK,Word-Word,1,0.7926269,N,,,
CAT,YELP,Word-Nonword,1,0.7924864,,,,
WINDOW,DUMET,Word-Nonword,1,1.0500187,,,,
DOCTOR,GLARF,Word-Nonword,1,0.9000443,,,,
SHOE,VAND,Word-Nonword,1,0.8744208,,,,
CAR,YELP,Word-Nonword,1,0.8052266,,,,
HAND,CLUNT,Word-Nonword,1,1.2546228,,,,
CITY,DUMET,Word-Nonword,1,0.7914505,,,,
SICK,PLART,Word-Nonword,1,0.7778267,,,,
KNIFE,SLEMP,Word-Nonword,1,0.8164016,,,,
SUN,GLARF,Word-Nonword,1,0.9416907,,,,
CHAIR,VAND,Word-Nonword,1,0.9832337,,,,
BOOK,ZANT,Word-Nonword,1,1.1061603,,,,
FIRE,PHOOM,Word-Nonword,1,1.0219238,,,,
BREAD,SLEMP,Word-Nonword,1,0.7793613,,,,
LION,PLART,Word-Nonword,1,0.9499676,,,,
COFFEE,PHOOM,Word-Nonword,1,1.0605783,,,,
BLACK,BROTH,Word-Nonword,1,1.1319082,,,,
WATER,CLUNT,Word-Nonword,1,1.320771,,,,
OCEAN,ZANT,Word-Nonword,1,0.7666647,,,,
TREE,BROTH,Word-Nonword,1,0.9329066,,,,
CLUNT,WET,Nonword-Word,1,1.17276,,,,
DUMET,TOWN,Nonword-Word,1,0.6079611,,,,
PLART,ILL,Nonword-Word,1,1.1886458,,,,
ZANT,PAGE,Nonword-Word,1,0.6977287,,,,
DUMET,DOOR,Nonword-Word,1,0.9328602,,,,
BROTH,WHITE,Nonword-Word,1,1.2098294,,,,
PHOOM,TEA,Nonword-Word,1,0.6395063,,,,
GLARF,MOON,Nonword-Word,1,0.6751052,,,,
SLEMP,BUTTER,Nonword-Word,1,0.6675151,,,,
YELP,DRIVE,Nonword-Word,1,0.7588647,,,,
YELP,DOG,Nonword-Word,1,0.6707613,,,,
PHOOM,SMOKE,Nonword-Word,1,1.0684648,,,,
SLEMP,FORK,Nonword-Word,1,0.7647883,,,,
VAND,TABLE,Nonword-Word,1,1.1442582,,,,
CLUNT,FOOT,Nonword-Word,1,0.8626283,,,,
PLART,TIGER,Nonword-Word,1,0.8227545,,,,
GLARF,NURSE,Nonword-Word,1,0.6421576,,,,
BROTH,BRANCH,Nonword-Word,1,1.3144235,,,,
ZANT,BEACH,Nonword-Word,1,0.7617988,,,,
DUMET,SLEMP,Nonword-Nonword,1,0.6186723,,,,
BROTH,VAND,Nonword-Nonword,1,0.6454465,,,,
ZANT,PLART,Nonword-Nonword,1,1.0053475,,,,
PLART,YELP,Nonword-Nonword,1,0.6031501,,,,
GLARF,DUMET,Nonword-Nonword,1,0.6778456,,,,
BROTH,YELP,Nonword-Nonword,1,0.8980056,,,,
CLUNT,VAND,Nonword-Nonword,1,1.1875892,,,,
DUMET,GLARF,Nonword-Nonword,1,0.7952486,,,,
PHOOM,SLEMP,Nonword-Nonword,1,0.6195759,,,,
SLEMP,PHOOM,Nonword-Nonword,1,0.5541025,,,,
PHOOM,GLARF,Nonword-Nonword,1,0.7940262,,,,
