key_resp.corr,key_resp.rt,Key_resp.corr,Key_resp.rt,,,,Sequential,Random
1,0.8103807999868877,,,,,,0.8103808,0.492272
1,0.30334629997378215,,,,,,0.3033463,0.4618808
1,0.4801376000395976,,,,,,0.4801376,0.3654548
1,0.4213576000183821,,,,,,0.4213576,0.4372242
1,0.3999132000026293,,,,,,0.3999132,0.552223
1,0.6000475999899209,,,,,,0.6000476,0.4346117
1,0.4617368000326678,,,,,,0.4617368,0.2265252
1,0.4239223999902606,,,,,,0.4239224,0.5123552
1,0.5784634999581613,,,,,,0.5784635,0.5749313
1,0.49966189998667687,,,,,,0.4996619,0.426224
1,0.33083560003433377,,,,,,0.3308356,0.7030338
1,0.7058451000484638,,,,,,0.7058451,0.6217776
1,0.5208209999836981,,,,,,0.520821,0.4755869
1,0.3727179000270553,,,,,,0.3727179,0.5847595
1,0.33121890004258603,,,,,,0.3312189,0.6082616
1,0.3274049999890849,,,,,,0.327405,0.8927024
1,0.3895265000173822,,,,,,0.3895265,0.73043
1,0.4259823999600485,,,,,,0.4259824,0.4994691
1,0.3668822000036016,,,,,,0.3668822,0.409195
1,0.3817115999991074,,,,,,0.3817116,1.0311707
1,0.34957189997658134,,,,,,0.3495719,0.5153368
1,0.37881950003793463,,,,,,0.3788195,0.5873074
1,0.38099949999013916,,,,,,0.3809995,0.3877875
1,0.3878197000012733,,,,,,0.3878197,0.519286
1,0.35715220001293346,,,,,,0.3571522,0.4357802
1,0.4245090000331402,,,,,,0.424509,0.4336168
1,0.4170944999787025,,,,,,0.4170945,0.4207036
1,0.5916681999806315,,,,,,0.5916682,0.5397618
1,0.4976788000203669,,,,,,0.4976788,0.7328403
1,0.4105946000199765,,,,,,0.4105946,0.7699522
1,0.5279904,,,,,,0.5279904,0.7331934
1,0.6801126000354998,,,,,,0.6801126,1.064634
1,0.6946511000278406,,,,,,0.6946511,0.7589074
1,0.45121049997396767,,,,,,0.4512105,0.7873088
1,0.685707,,,,,,0.685707,0.3355034
1,0.3440294,,,,,,0.3440294,0.6642804
1,0.7073793,,,,,,0.7073793,0.6911422
1,0.4147406999836676,,,,,,0.4147407,0.8269787
1,0.33418070001062006,,,,,,0.3341807,0.3290428
1,0.33903999999165535,,,,,,0.33904,0.7075586
1,0.7461436000303365,,,,,,0.7461436,0.5064834
1,0.8022679999703541,,,,,,0.802268,0.7780012
1,0.3640442999894731,,,,,,0.3640443,0.1973095
1,0.3427145,,,,,,0.3427145,0.7456555
1,0.3298489000299014,,,,,,0.3298489,0.6773187
1,0.37838820001343265,,,,,,0.3783882,0.4915494
1,0.3546906000119634,,,,,,0.3546906,0.3025794
1,0.28468129999237135,,,,,,0.2846813,0.6499869
1,0.3008286000113003,,,,,,0.3008286,0.4284711
1,0.3897568000247702,,,,,,0.3897568,0.2502642
1,0.24574639997445047,,,,,,0.2457464,0.2350498
1,0.3159342000144534,,,,,,0.3159342,0.8449603
1,0.28142999997362494,,,,,,0.28143,0.4252295
1,0.32850530004361644,,,,,,0.3285053,0.7299534
