TOP_STRING,BOTTOM_STRING,WORD_STATUS,key_resp.corr,key_resp.rt,Association,,,
BREAD,BUTTER,Word-Word,1,0.8961205,R,,,
SUN,MOON,Word-Word,1,0.8710754,R,,,
CAR,DRIVE,Word-Word,1,1.450482,R,,,
FIRE,SMOKE,Word-Word,1,0.965935,R,,,
CAR,SMOKE,Word-Word,1,0.8507282,R,,,
CHAIR,TABLE,Word-Word,1,0.9554195,R,,,
HAND,FOOT,Word-Word,1,0.8086485,R,,,
BREAD,NURSE,Word-Word,1,1.4164341,R,,,
DOCTOR,NURSE,Word-Word,1,2.0905913,R,,,
BOOK,PAGE,Word-Word,1,1.3847156,R,,,
CITY,TOWN,Word-Word,1,0.7510197,R,,Mean Related,1.071105423
WATER,WET,Word-Word,1,0.6545707,R,,Mean Non- Related,0.98651775
TREE,BRANCH,Word-Word,1,1.1400872,R,,,
WINDOW,DOOR,Word-Word,1,0.8637442,R,,,
KNIFE,FORK,Word-Word,1,1.1132642,R,,Mean W-N,1.014007906
LION,TIGER,Word-Word,1,0.8090864,R,,MeanN-W,0.859924705
SUN,BEACH,Word-Word,1,0.888625,R,,Mean N-N,0.761746145
CAT,DOG,Word-Word,1,0.9529672,R,,,
OCEAN,BEACH,Word-Word,1,0.9970798,R,,,
BLACK,WHITE,Word-Word,1,1.5035647,R,,,
COFFEE,TEA,Word-Word,1,1.1392831,R,,,
SICK,ILL,Word-Word,1,1.060877,R,,,
BOOK,SOCK,Word-Word,1,1.1277861,N,,,
LION,BUTTER,Word-Word,1,1.0047958,N,,,
WATER,BRANCH,Word-Word,1,1.4054682,N,,,
OCEAN,TABLE,Word-Word,1,0.8858019,N,,,
SHOE,SOCK,Word-Word,1,0.9168347,N,,,
KNIFE,MOON,Word-Word,1,0.8135103,N,,,
CHAIR,DOG,Word-Word,1,1.1570718,N,,,
TREE,ILL,Word-Word,1,1.1746147,N,,,
CITY,WET,Word-Word,1,1.0727292,N,,,
HAND,WHITE,Word-Word,1,0.9537506,N,,,
FIRE,TOWN,Word-Word,1,0.8417571,N,,,
SHOE,DRIVE,Word-Word,1,0.9381604,N,,,
DOCTOR,FOOT,Word-Word,1,0.7351049,N,,,
CAT,TEA,Word-Word,1,0.9184489,N,,,
WINDOW,PAGE,Word-Word,1,0.7465187,N,,,
SICK,FORK,Word-Word,1,1.2900297,N,,,
COFFEE,DOOR,Word-Word,1,0.863317,N,,,
BLACK,TIGER,Word-Word,1,0.9116195,N,,,
BLACK,BROTH,Word-Nonword,1,1.4433918,,,,
BOOK,ZANT,Word-Nonword,1,0.8869389,,,,
CAT,YELP,Word-Nonword,1,1.0578438,,,,
COFFEE,PHOOM,Word-Nonword,1,1.0985069,,,,
TREE,BROTH,Word-Nonword,1,1.1561233,,,,
BREAD,SLEMP,Word-Nonword,1,1.6991013,,,,
HAND,CLUNT,Word-Nonword,1,0.8760814,,,,
CITY,DUMET,Word-Nonword,1,1.0590662,,,,
DOCTOR,GLARF,Word-Nonword,1,0.8459762,,,,
SUN,GLARF,Word-Nonword,1,0.7566449,,,,
SHOE,VAND,Word-Nonword,1,0.9684212,,,,
CHAIR,VAND,Word-Nonword,1,0.7650916,,,,
KNIFE,SLEMP,Word-Nonword,1,1.1460002,,,,
WINDOW,DUMET,Word-Nonword,1,0.8195782,,,,
FIRE,PHOOM,Word-Nonword,1,0.8894042,,,,
CAR,YELP,Word-Nonword,1,0.9539693,,,,
OCEAN,ZANT,Word-Nonword,1,0.998531,,,,
SICK,PLART,Word-Nonword,1,0.8314719,,,,
BROTH,WHITE,Nonword-Word,1,1.4230005,,,,
PLART,ILL,Nonword-Word,1,0.670417,,,,
SLEMP,FORK,Nonword-Word,1,0.7247323,,,,
DUMET,TOWN,Nonword-Word,1,0.7153956,,,,
PHOOM,TEA,Nonword-Word,1,0.6282261,,,,
GLARF,NURSE,Nonword-Word,1,0.9618341,,,,
BROTH,BRANCH,Nonword-Word,1,0.6810041,,,,
ZANT,PAGE,Nonword-Word,1,1.2113426,,,,
YELP,DRIVE,Nonword-Word,1,1.3674409,,,,
DUMET,DOOR,Nonword-Word,1,0.8088875,,,,
CLUNT,WET,Nonword-Word,1,0.9634728,,,,
SLEMP,BUTTER,Nonword-Word,1,0.7700931,,,,
PLART,TIGER,Nonword-Word,1,0.9856516,,,,
PHOOM,SMOKE,Nonword-Word,1,0.630343,,,,
GLARF,MOON,Nonword-Word,1,0.6683323,,,,
VAND,TABLE,Nonword-Word,1,0.675406,,,,
ZANT,BEACH,Nonword-Word,1,0.6200181,,,,
CLUNT,FOOT,Nonword-Word,1,0.8269755,,,,
VAND,SOCK,Nonword-Word,1,0.8691372,,,,
YELP,DOG,Nonword-Word,1,0.9967838,,,,
PHOOM,GLARF,Nonword-Nonword,1,0.6845588,,,,
GLARF,PHOOM,Nonword-Nonword,1,0.9657999,,,,
PLART,ZANT,Nonword-Nonword,1,0.7033013,,,,
BROTH,YELP,Nonword-Nonword,1,1.0277219,,,,
ZANT,CLUNT,Nonword-Nonword,1,0.6725526,,,,
BROTH,VAND,Nonword-Nonword,1,1.3684368,,,,
DUMET,SLEMP,Nonword-Nonword,1,0.6190344,,,,
GLARF,DUMET,Nonword-Nonword,1,0.6384024,,,,
ZANT,PLART,Nonword-Nonword,1,0.6060075,,,,
DUMET,GLARF,Nonword-Nonword,1,1.1115801,,,,
CLUNT,ZANT,Nonword-Nonword,1,0.7133272,,,,
PHOOM,SLEMP,Nonword-Nonword,1,0.6469599,,,,
SLEMP,PHOOM,Nonword-Nonword,1,0.6776833,,,,
YELP,CLUNT,Nonword-Nonword,1,0.6970386,,,,
VAND,BROTH,Nonword-Nonword,1,0.6737597,,,,
PLART,YELP,Nonword-Nonword,1,0.772229,,,,
YELP,BROTH,Nonword-Nonword,1,0.594075,,,,
SLEMP,DUMET,Nonword-Nonword,1,0.5995192,,,,
CLUNT,VAND,Nonword-Nonword,1,0.6842662,,,,
VAND,PLART,Nonword-Nonword,1,0.7786691,,,,
